,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,order_id,product,quantity,price,date
0,0.0,0.0,0.0,1001,Keyboard,1,29.99,2025-01-01
1,1.0,1.0,1.0,1002,Mouse,2,19.99,2025-01-01
2,2.0,2.0,2.0,1003,Monitor,1,199.99,2025-01-01
3,3.0,3.0,4.0,1005,Keyboard,1,,2025-01-01
4,4.0,4.0,5.0,1006,Laptop,1,899.99,2025-01-01
5,5.0,5.0,6.0,1007,Headset,2,49.99,2025-01-01
6,6.0,6.0,7.0,1008,USB Cable,3,5.99,2025-01-01
7,7.0,7.0,8.0,1009,Webcam,1,59.99,2025-01-01
8,8.0,8.0,9.0,1010,Speakers,1,39.99,2025-01-01
9,9.0,9.0,10.0,1011,Chair,1,129.99,2025-01-01
10,10.0,10.0,11.0,1012,Desk,1,249.99,2025-01-01
11,11.0,11.0,12.0,1013,Lamp,2,14.99,2025-01-01
12,12.0,12.0,13.0,1014,Notebook,5,2.49,2025-01-01
13,13.0,13.0,14.0,1015,Pen,10,0.99,2025-01-01
14,14.0,14.0,15.0,1016,Keyboard,1,29.99,2025-01-01
15,15.0,15.0,17.0,1018,Monitor,1,199.99,2025-01-01
16,16.0,16.0,18.0,1019,Laptop,1,899.99,2025-01-01
17,17.0,17.0,19.0,1020,Headset,1,49.99,2025-01-01
18,18.0,18.0,20.0,1021,USB Cable,2,5.99,2025-01-01
19,19.0,19.0,21.0,1022,Webcam,1,59.99,2025-01-01
20,20.0,20.0,22.0,1023,Speakers,1,39.99,2025-01-01
21,21.0,21.0,23.0,1024,Chair,1,129.99,2025-01-01
22,22.0,22.0,24.0,1025,Desk,1,249.99,2025-01-01
23,23.0,23.0,25.0,1026,Lamp,1,14.99,2025-01-01
24,24.0,24.0,26.0,1027,Notebook,3,2.49,2025-01-01
25,25.0,25.0,27.0,1028,Pen,12,0.99,2025-01-01
26,26.0,26.0,28.0,1029,Keyboard,1,29.99,2025-01-01
27,27.0,27.0,29.0,1030,Mouse,1,19.99,2025-01-01
28,28.0,28.0,31.0,1032,Laptop,1,899.99,2025-01-01
29,29.0,29.0,32.0,1033,Headset,1,49.99,2025-01-01
30,30.0,30.0,33.0,1034,USB Cable,4,5.99,2025-01-01
31,31.0,31.0,34.0,1035,Webcam,1,59.99,2025-01-01
32,32.0,32.0,35.0,1036,Speakers,2,39.99,2025-01-01
33,33.0,33.0,36.0,1037,Chair,1,129.99,2025-01-01
34,34.0,34.0,37.0,1038,Desk,1,249.99,2025-01-01
35,35.0,35.0,38.0,1039,Lamp,2,14.99,2025-01-01
36,36.0,36.0,39.0,1040,Notebook,4,2.49,2025-01-01
37,37.0,37.0,40.0,1041,Pen,8,0.99,2025-01-01
38,38.0,38.0,41.0,1042,Keyboard,1,29.99,2025-01-01
39,39.0,39.0,43.0,1044,Monitor,1,199.99,2025-01-01
40,40.0,40.0,44.0,1045,Laptop,1,,2025-01-01
41,41.0,41.0,45.0,1046,Headset,2,49.99,2025-01-01
42,42.0,42.0,46.0,1047,USB Cable,1,5.99,2025-01-01
43,43.0,43.0,47.0,1048,Webcam,1,59.99,2025-01-01
44,44.0,44.0,48.0,1049,Speakers,1,39.99,2025-01-01
45,45.0,45.0,49.0,1050,Chair,1,129.99,2025-01-01
46,46.0,46.0,50.0,1051,Desk,1,249.99,2025-01-01
47,47.0,47.0,51.0,1052,Lamp,1,14.99,2025-01-01
48,48.0,48.0,52.0,1053,Notebook,2,2.49,2025-01-01
49,49.0,49.0,53.0,1054,Pen,15,0.99,2025-01-01
50,50.0,50.0,54.0,1055,Keyboard,1,29.99,2025-01-01
51,51.0,51.0,55.0,1056,Mouse,1,19.99,2025-01-01
52,52.0,52.0,56.0,1057,Monitor,1,199.99,2025-01-01
53,53.0,53.0,57.0,1058,Laptop,1,899.99,2025-01-01
54,54.0,54.0,59.0,1060,USB Cable,3,5.99,2025-01-01
55,55.0,55.0,60.0,1061,Webcam,1,59.99,2025-01-01
56,56.0,56.0,61.0,1062,Speakers,1,39.99,2025-01-01
57,57.0,57.0,62.0,1063,Chair,1,129.99,2025-01-01
58,58.0,58.0,63.0,1064,Desk,1,249.99,2025-01-01
59,59.0,59.0,64.0,1065,Lamp,2,14.99,2025-01-01
60,60.0,60.0,65.0,1066,Notebook,3,2.49,2025-01-01
61,61.0,61.0,66.0,1067,Pen,9,0.99,2025-01-01
62,62.0,62.0,67.0,1068,Keyboard,1,29.99,2025-01-01
63,63.0,63.0,68.0,1069,Mouse,2,19.99,2025-01-01
64,64.0,64.0,69.0,1070,Monitor,1,199.99,2025-01-01
65,65.0,65.0,70.0,1071,Laptop,1,899.99,2025-01-01
66,66.0,66.0,71.0,1072,Headset,1,49.99,2025-01-01
67,67.0,67.0,72.0,1073,USB Cable,2,5.99,2025-01-01
68,68.0,68.0,73.0,1074,Webcam,1,59.99,2025-01-01
69,69.0,69.0,74.0,1075,Speakers,1,39.99,2025-01-01
70,70.0,70.0,75.0,1076,Chair,1,129.99,2025-01-01
71,71.0,71.0,76.0,1077,Desk,1,249.99,2025-01-01
72,72.0,72.0,77.0,1078,Lamp,1,14.99,2025-01-01
73,73.0,73.0,78.0,1079,Notebook,4,2.49,2025-01-01
74,74.0,74.0,79.0,1080,Pen,11,0.99,2025-01-01
75,75.0,75.0,80.0,1081,Keyboard,1,29.99,2025-01-01
76,76.0,76.0,82.0,1083,Monitor,1,199.99,2025-01-01
77,77.0,77.0,83.0,1084,Laptop,1,899.99,2025-01-01
78,78.0,78.0,84.0,1085,Headset,1,49.99,2025-01-01
79,79.0,79.0,85.0,1086,USB Cable,3,5.99,2025-01-01
80,80.0,80.0,86.0,1087,Webcam,1,59.99,2025-01-01
81,81.0,81.0,87.0,1088,Speakers,1,39.99,2025-01-01
82,82.0,82.0,88.0,1089,Chair,1,129.99,2025-01-01
83,83.0,83.0,89.0,1090,Desk,1,249.99,2025-01-01
84,84.0,84.0,90.0,1091,Lamp,2,14.99,2025-01-01
85,85.0,85.0,91.0,1092,Notebook,3,2.49,2025-01-01
86,86.0,86.0,92.0,1093,Pen,7,0.99,2025-01-01
87,87.0,87.0,93.0,1094,Keyboard,1,29.99,2025-01-01
88,88.0,88.0,94.0,1095,Mouse,1,19.99,2025-01-01
89,89.0,89.0,95.0,1096,Monitor,1,199.99,2025-01-01
90,90.0,90.0,96.0,1097,Laptop,1,899.99,2025-01-01
91,91.0,91.0,97.0,1098,Headset,1,49.99,2025-01-01
92,92.0,92.0,98.0,1099,USB Cable,2,5.99,2025-01-01
93,93.0,93.0,99.0,1100,Webcam,1,59.99,2025-01-01
94,94.0,94.0,0.0,2001,Keyboard,1,29.99,2025-01-02
95,95.0,95.0,1.0,2002,Mouse,2,19.99,2025-01-02
96,96.0,96.0,2.0,2003,Monitor,1,199.99,2025-01-02
97,97.0,97.0,3.0,2004,Laptop,1,899.99,2025-01-02
98,98.0,98.0,5.0,2006,USB Cable,3,5.99,2025-01-02
99,99.0,99.0,6.0,2007,Webcam,1,59.99,2025-01-02
100,100.0,100.0,7.0,2008,Speakers,1,39.99,2025-01-02
101,101.0,101.0,8.0,2009,Chair,1,129.99,2025-01-02
102,102.0,102.0,9.0,2010,Desk,1,249.99,2025-01-02
103,103.0,103.0,10.0,2011,Lamp,2,14.99,2025-01-02
104,104.0,104.0,11.0,2012,Notebook,4,2.49,2025-01-02
105,105.0,105.0,12.0,2013,Pen,12,0.99,2025-01-02
106,106.0,106.0,13.0,2014,Keyboard,1,29.99,2025-01-02
107,107.0,107.0,15.0,2016,Monitor,1,199.99,2025-01-02
108,108.0,108.0,16.0,2017,Laptop,1,899.99,2025-01-02
109,109.0,109.0,17.0,2018,Headset,1,49.99,2025-01-02
110,110.0,110.0,18.0,2019,USB Cable,2,5.99,2025-01-02
111,111.0,111.0,19.0,2020,Webcam,1,59.99,2025-01-02
112,112.0,112.0,20.0,2021,Speakers,1,39.99,2025-01-02
113,113.0,113.0,21.0,2022,Chair,1,129.99,2025-01-02
114,114.0,114.0,22.0,2023,Desk,1,249.99,2025-01-02
115,115.0,115.0,23.0,2024,Lamp,1,14.99,2025-01-02
116,116.0,116.0,24.0,2025,Notebook,3,2.49,2025-01-02
117,117.0,117.0,25.0,2026,Pen,9,0.99,2025-01-02
118,118.0,118.0,26.0,2027,Keyboard,1,29.99,2025-01-02
119,119.0,119.0,27.0,2028,Mouse,1,19.99,2025-01-02
120,120.0,120.0,29.0,2030,Laptop,1,899.99,2025-01-02
121,121.0,121.0,30.0,2031,Headset,2,49.99,2025-01-02
122,122.0,122.0,31.0,2032,USB Cable,4,5.99,2025-01-02
123,123.0,123.0,32.0,2033,Webcam,1,59.99,2025-01-02
124,124.0,124.0,33.0,2034,Speakers,2,39.99,2025-01-02
125,125.0,125.0,34.0,2035,Chair,1,129.99,2025-01-02
126,126.0,126.0,35.0,2036,Desk,1,249.99,2025-01-02
127,127.0,127.0,36.0,2037,Lamp,2,14.99,2025-01-02
128,128.0,128.0,37.0,2038,Notebook,5,2.49,2025-01-02
129,129.0,129.0,38.0,2039,Pen,10,0.99,2025-01-02
130,130.0,130.0,39.0,2040,Keyboard,1,29.99,2025-01-02
131,131.0,131.0,41.0,2042,Monitor,1,199.99,2025-01-02
132,132.0,132.0,42.0,2043,Laptop,1,899.99,2025-01-02
133,133.0,133.0,43.0,2044,Headset,1,49.99,2025-01-02
134,134.0,134.0,44.0,2045,USB Cable,3,5.99,2025-01-02
135,135.0,135.0,45.0,2046,Webcam,1,59.99,2025-01-02
136,136.0,136.0,46.0,2047,Speakers,1,39.99,2025-01-02
137,137.0,137.0,47.0,2048,Chair,1,129.99,2025-01-02
138,138.0,138.0,48.0,2049,Desk,1,249.99,2025-01-02
139,139.0,139.0,49.0,2050,Lamp,1,14.99,2025-01-02
140,140.0,140.0,50.0,2051,Notebook,2,2.49,2025-01-02
141,141.0,141.0,51.0,2052,Pen,14,0.99,2025-01-02
142,142.0,142.0,52.0,2053,Keyboard,1,29.99,2025-01-02
143,143.0,143.0,53.0,2054,Mouse,1,19.99,2025-01-02
144,144.0,144.0,54.0,2055,Monitor,1,199.99,2025-01-02
145,145.0,145.0,55.0,2056,Laptop,1,899.99,2025-01-02
146,146.0,146.0,57.0,2058,USB Cable,3,5.99,2025-01-02
147,147.0,147.0,58.0,2059,Webcam,1,59.99,2025-01-02
148,148.0,148.0,59.0,2060,Speakers,1,39.99,2025-01-02
149,149.0,149.0,60.0,2061,Chair,1,129.99,2025-01-02
150,150.0,150.0,61.0,2062,Desk,1,249.99,2025-01-02
151,151.0,151.0,62.0,2063,Lamp,2,14.99,2025-01-02
152,152.0,152.0,63.0,2064,Notebook,3,2.49,2025-01-02
153,153.0,153.0,64.0,2065,Pen,8,0.99,2025-01-02
154,154.0,154.0,65.0,2066,Keyboard,1,29.99,2025-01-02
155,155.0,155.0,66.0,2067,Mouse,2,19.99,2025-01-02
156,156.0,156.0,67.0,2068,Monitor,1,199.99,2025-01-02
157,157.0,157.0,68.0,2069,Laptop,1,899.99,2025-01-02
158,158.0,158.0,69.0,2070,Headset,1,49.99,2025-01-02
159,159.0,159.0,70.0,2071,USB Cable,2,5.99,2025-01-02
160,160.0,160.0,71.0,2072,Webcam,1,59.99,2025-01-02
161,161.0,161.0,72.0,2073,Speakers,1,39.99,2025-01-02
162,162.0,162.0,73.0,2074,Chair,1,129.99,2025-01-02
163,163.0,163.0,74.0,2075,Desk,1,249.99,2025-01-02
164,164.0,164.0,75.0,2076,Lamp,1,14.99,2025-01-02
165,165.0,165.0,76.0,2077,Notebook,4,2.49,2025-01-02
166,166.0,166.0,77.0,2078,Pen,11,0.99,2025-01-02
167,167.0,167.0,78.0,2079,Keyboard,1,29.99,2025-01-02
168,168.0,168.0,80.0,2081,Monitor,1,199.99,2025-01-02
169,169.0,169.0,81.0,2082,Laptop,1,899.99,2025-01-02
170,170.0,170.0,82.0,2083,Headset,1,49.99,2025-01-02
171,171.0,171.0,83.0,2084,USB Cable,3,5.99,2025-01-02
172,172.0,172.0,84.0,2085,Webcam,1,59.99,2025-01-02
173,173.0,173.0,85.0,2086,Speakers,1,39.99,2025-01-02
174,174.0,174.0,86.0,2087,Chair,1,129.99,2025-01-02
175,175.0,175.0,87.0,2088,Desk,1,249.99,2025-01-02
176,176.0,176.0,88.0,2089,Lamp,2,14.99,2025-01-02
177,177.0,177.0,89.0,2090,Notebook,3,2.49,2025-01-02
178,178.0,178.0,90.0,2091,Pen,7,0.99,2025-01-02
179,179.0,179.0,91.0,2092,Keyboard,1,29.99,2025-01-02
180,180.0,180.0,92.0,2093,Mouse,1,19.99,2025-01-02
181,181.0,181.0,93.0,2094,Monitor,1,199.99,2025-01-02
182,182.0,182.0,94.0,2095,Laptop,1,899.99,2025-01-02
183,183.0,183.0,95.0,2096,Headset,1,49.99,2025-01-02
184,184.0,184.0,96.0,2097,USB Cable,2,5.99,2025-01-02
185,185.0,185.0,97.0,2098,Webcam,1,59.99,2025-01-02
186,186.0,186.0,98.0,2099,Speakers,1,39.99,2025-01-02
187,187.0,187.0,99.0,2100,Chair,1,129.99,2025-01-02
188,188.0,188.0,0.0,3001,Keyboard,1,29.99,2025-01-03
189,189.0,189.0,1.0,3002,Mouse,2,19.99,2025-01-03
190,190.0,190.0,2.0,3003,Monitor,1,199.99,2025-01-03
191,191.0,191.0,3.0,3004,Laptop,1,899.99,2025-01-03
192,192.0,192.0,5.0,3006,USB Cable,3,5.99,2025-01-03
193,193.0,193.0,6.0,3007,Webcam,1,59.99,2025-01-03
194,194.0,194.0,7.0,3008,Speakers,1,39.99,2025-01-03
195,195.0,195.0,8.0,3009,Chair,1,129.99,2025-01-03
196,196.0,196.0,9.0,3010,Desk,1,249.99,2025-01-03
197,197.0,197.0,10.0,3011,Lamp,2,14.99,2025-01-03
198,198.0,198.0,11.0,3012,Notebook,4,2.49,2025-01-03
199,199.0,199.0,12.0,3013,Pen,12,0.99,2025-01-03
200,200.0,200.0,13.0,3014,Keyboard,1,29.99,2025-01-03
201,201.0,201.0,15.0,3016,Monitor,1,199.99,2025-01-03
202,202.0,202.0,16.0,3017,Laptop,1,899.99,2025-01-03
203,203.0,203.0,17.0,3018,Headset,1,49.99,2025-01-03
204,204.0,204.0,18.0,3019,USB Cable,2,5.99,2025-01-03
205,205.0,205.0,19.0,3020,Webcam,1,59.99,2025-01-03
206,206.0,206.0,20.0,3021,Speakers,1,39.99,2025-01-03
207,207.0,207.0,21.0,3022,Chair,1,129.99,2025-01-03
208,208.0,208.0,22.0,3023,Desk,1,249.99,2025-01-03
209,209.0,209.0,23.0,3024,Lamp,1,14.99,2025-01-03
210,210.0,210.0,24.0,3025,Notebook,3,2.49,2025-01-03
211,211.0,211.0,25.0,3026,Pen,9,0.99,2025-01-03
212,212.0,212.0,26.0,3027,Keyboard,1,29.99,2025-01-03
213,213.0,213.0,27.0,3028,Mouse,1,19.99,2025-01-03
214,214.0,214.0,29.0,3030,Laptop,1,899.99,2025-01-03
215,215.0,215.0,30.0,3031,Headset,2,49.99,2025-01-03
216,216.0,216.0,31.0,3032,USB Cable,4,5.99,2025-01-03
217,217.0,217.0,32.0,3033,Webcam,1,59.99,2025-01-03
218,218.0,218.0,33.0,3034,Speakers,2,39.99,2025-01-03
219,219.0,219.0,34.0,3035,Chair,1,129.99,2025-01-03
220,220.0,220.0,35.0,3036,Desk,1,249.99,2025-01-03
221,221.0,221.0,36.0,3037,Lamp,2,14.99,2025-01-03
222,222.0,222.0,37.0,3038,Notebook,5,2.49,2025-01-03
223,223.0,223.0,38.0,3039,Pen,10,0.99,2025-01-03
224,224.0,224.0,39.0,3040,Keyboard,1,29.99,2025-01-03
225,225.0,225.0,41.0,3042,Monitor,1,199.99,2025-01-03
226,226.0,226.0,42.0,3043,Laptop,1,899.99,2025-01-03
227,227.0,227.0,43.0,3044,Headset,1,49.99,2025-01-03
228,228.0,228.0,44.0,3045,USB Cable,3,5.99,2025-01-03
229,229.0,229.0,45.0,3046,Webcam,1,59.99,2025-01-03
230,230.0,230.0,46.0,3047,Speakers,1,39.99,2025-01-03
231,231.0,231.0,47.0,3048,Chair,1,129.99,2025-01-03
232,232.0,232.0,48.0,3049,Desk,1,249.99,2025-01-03
233,233.0,233.0,49.0,3050,Lamp,1,14.99,2025-01-03
234,234.0,234.0,50.0,3051,Notebook,2,2.49,2025-01-03
235,235.0,235.0,51.0,3052,Pen,14,0.99,2025-01-03
236,236.0,236.0,52.0,3053,Keyboard,1,29.99,2025-01-03
237,237.0,237.0,53.0,3054,Mouse,1,19.99,2025-01-03
238,238.0,238.0,54.0,3055,Monitor,1,199.99,2025-01-03
239,239.0,239.0,55.0,3056,Laptop,1,899.99,2025-01-03
240,240.0,240.0,57.0,3058,USB Cable,3,5.99,2025-01-03
241,241.0,241.0,58.0,3059,Webcam,1,59.99,2025-01-03
242,242.0,242.0,59.0,3060,Speakers,1,39.99,2025-01-03
243,243.0,243.0,60.0,3061,Chair,1,129.99,2025-01-03
244,244.0,244.0,61.0,3062,Desk,1,249.99,2025-01-03
245,245.0,245.0,62.0,3063,Lamp,2,14.99,2025-01-03
246,246.0,246.0,63.0,3064,Notebook,3,2.49,2025-01-03
247,247.0,247.0,64.0,3065,Pen,8,0.99,2025-01-03
248,248.0,248.0,65.0,3066,Keyboard,1,29.99,2025-01-03
249,249.0,249.0,66.0,3067,Mouse,2,19.99,2025-01-03
250,250.0,250.0,67.0,3068,Monitor,1,199.99,2025-01-03
251,251.0,251.0,68.0,3069,Laptop,1,899.99,2025-01-03
252,252.0,252.0,69.0,3070,Headset,1,49.99,2025-01-03
253,253.0,253.0,70.0,3071,USB Cable,2,5.99,2025-01-03
254,254.0,254.0,71.0,3072,Webcam,1,59.99,2025-01-03
255,255.0,255.0,72.0,3073,Speakers,1,39.99,2025-01-03
256,256.0,256.0,73.0,3074,Chair,1,129.99,2025-01-03
257,257.0,257.0,74.0,3075,Desk,1,249.99,2025-01-03
258,258.0,258.0,75.0,3076,Lamp,1,14.99,2025-01-03
259,259.0,259.0,76.0,3077,Notebook,4,2.49,2025-01-03
260,260.0,260.0,77.0,3078,Pen,11,0.99,2025-01-03
261,261.0,261.0,78.0,3079,Keyboard,1,29.99,2025-01-03
262,262.0,262.0,80.0,3081,Monitor,1,199.99,2025-01-03
263,263.0,263.0,81.0,3082,Laptop,1,899.99,2025-01-03
264,264.0,264.0,82.0,3083,Headset,1,49.99,2025-01-03
265,265.0,265.0,83.0,3084,USB Cable,3,5.99,2025-01-03
266,266.0,266.0,84.0,3085,Webcam,1,59.99,2025-01-03
267,267.0,267.0,85.0,3086,Speakers,1,39.99,2025-01-03
268,268.0,268.0,86.0,3087,Chair,1,129.99,2025-01-03
269,269.0,269.0,87.0,3088,Desk,1,249.99,2025-01-03
270,270.0,270.0,88.0,3089,Lamp,2,14.99,2025-01-03
271,271.0,271.0,89.0,3090,Notebook,3,2.49,2025-01-03
272,272.0,272.0,90.0,3091,Pen,7,0.99,2025-01-03
273,273.0,273.0,91.0,3092,Keyboard,1,29.99,2025-01-03
274,274.0,274.0,92.0,3093,Mouse,1,19.99,2025-01-03
275,275.0,275.0,93.0,3094,Monitor,1,199.99,2025-01-03
276,276.0,276.0,94.0,3095,Laptop,1,899.99,2025-01-03
277,277.0,277.0,95.0,3096,Headset,1,49.99,2025-01-03
278,278.0,278.0,96.0,3097,USB Cable,2,5.99,2025-01-03
279,279.0,279.0,97.0,3098,Webcam,1,59.99,2025-01-03
280,280.0,280.0,98.0,3099,Speakers,1,39.99,2025-01-03
281,281.0,281.0,99.0,3100,Chair,1,129.99,2025-01-03
282,282.0,282.0,0.0,4001,Keyboard,1,29.99,2025-01-04
283,283.0,283.0,1.0,4002,Mouse,2,19.99,2025-01-04
284,284.0,284.0,2.0,4003,Monitor,1,199.99,2025-01-04
285,285.0,285.0,3.0,4004,Laptop,1,899.99,2025-01-04
286,286.0,286.0,5.0,4006,USB Cable,3,5.99,2025-01-04
287,287.0,287.0,6.0,4007,Webcam,1,59.99,2025-01-04
288,288.0,288.0,7.0,4008,Speakers,1,39.99,2025-01-04
289,289.0,289.0,8.0,4009,Chair,1,129.99,2025-01-04
290,290.0,290.0,9.0,4010,Desk,1,249.99,2025-01-04
291,291.0,291.0,10.0,4011,Lamp,2,14.99,2025-01-04
292,292.0,292.0,11.0,4012,Notebook,4,2.49,2025-01-04
293,293.0,293.0,12.0,4013,Pen,12,0.99,2025-01-04
294,294.0,294.0,13.0,4014,Keyboard,1,29.99,2025-01-04
295,295.0,295.0,15.0,4016,Monitor,1,199.99,2025-01-04
296,296.0,296.0,16.0,4017,Laptop,1,899.99,2025-01-04
297,297.0,297.0,17.0,4018,Headset,1,49.99,2025-01-04
298,298.0,298.0,18.0,4019,USB Cable,2,5.99,2025-01-04
299,299.0,299.0,19.0,4020,Webcam,1,59.99,2025-01-04
300,300.0,300.0,20.0,4021,Speakers,1,39.99,2025-01-04
301,301.0,301.0,21.0,4022,Chair,1,129.99,2025-01-04
302,302.0,302.0,22.0,4023,Desk,1,249.99,2025-01-04
