order_id,product,quantity,price,date
9001,Keyboard,1,29.99,2025-01-09
9002,Mouse,2,19.99,2025-01-09
9003,Monitor,1,199.99,2025-01-09
9004,Laptop,1,899.99,2025-01-09
9005,Headset,0,,2025-01-09
9006,USB Cable,3,5.99,2025-01-09
9007,Webcam,1,59.99,2025-01-09
9008,Speakers,1,39.99,2025-01-09
9009,Chair,1,129.99,2025-01-09
9010,Desk,1,249.99,2025-01-09
9011,Lamp,2,14.99,2025-01-09
9012,Notebook,4,2.49,2025-01-09
9013,Pen,12,0.99,2025-01-09
9014,Keyboard,1,29.99,2025-01-09
9015,Mouse,0,,2025-01-09
9016,Monitor,1,199.99,2025-01-09
9017,Laptop,1,899.99,2025-01-09
9018,Headset,1,49.99,2025-01-09
9019,USB Cable,2,5.99,2025-01-09
9020,Webcam,1,59.99,2025-01-09
9021,Speakers,1,39.99,2025-01-09
9022,Chair,1,129.99,2025-01-09
9023,Desk,1,249.99,2025-01-09
9024,Lamp,1,14.99,2025-01-09
9025,Notebook,3,2.49,2025-01-09
9026,Pen,9,0.99,2025-01-09
9027,Keyboard,1,29.99,2025-01-09
9028,Mouse,1,19.99,2025-01-09
9029,Monitor,0,,2025-01-09
9030,Laptop,1,899.99,2025-01-09
9031,Headset,2,49.99,2025-01-09
9032,USB Cable,4,5.99,2025-01-09
9033,Webcam,1,59.99,2025-01-09
9034,Speakers,2,39.99,2025-01-09
9035,Chair,1,129.99,2025-01-09
9036,Desk,1,249.99,2025-01-09
9037,Lamp,2,14.99,2025-01-09
9038,Notebook,5,2.49,2025-01-09
9039,Pen,10,0.99,2025-01-09
9040,Keyboard,1,29.99,2025-01-09
9041,Mouse,0,,2025-01-09
9042,Monitor,1,199.99,2025-01-09
9043,Laptop,1,899.99,2025-01-09
9044,Headset,1,49.99,2025-01-09
9045,USB Cable,3,5.99,2025-01-09
9046,Webcam,1,59.99,2025-01-09
9047,Speakers,1,39.99,2025-01-09
9048,Chair,1,129.99,2025-01-09
9049,Desk,1,249.99,2025-01-09
9050,Lamp,1,14.99,2025-01-09
9051,Notebook,2,2.49,2025-01-09
9052,Pen,14,0.99,2025-01-09
9053,Keyboard,1,29.99,2025-01-09
9054,Mouse,1,19.99,2025-01-09
9055,Monitor,1,199.99,2025-01-09
9056,Laptop,1,899.99,2025-01-09
9057,Headset,0,,2025-01-09
9058,USB Cable,3,5.99,2025-01-09
9059,Webcam,1,59.99,2025-01-09
9060,Speakers,1,39.99,2025-01-09
9061,Chair,1,129.99,2025-01-09
9062,Desk,1,249.99,2025-01-09
9063,Lamp,2,14.99,2025-01-09
9064,Notebook,3,2.49,2025-01-09
9065,Pen,8,0.99,2025-01-09
9066,Keyboard,1,29.99,2025-01-09
9067,Mouse,2,19.99,2025-01-09
9068,Monitor,1,199.99,2025-01-09
9069,Laptop,1,899.99,2025-01-09
9070,Headset,1,49.99,2025-01-09
9071,USB Cable,2,5.99,2025-01-09
9072,Webcam,1,59.99,2025-01-09
9073,Speakers,1,39.99,2025-01-09
9074,Chair,1,129.99,2025-01-09
9075,Desk,1,249.99,2025-01-09
9076,Lamp,1,14.99,2025-01-09
9077,Notebook,4,2.49,2025-01-09
9078,Pen,11,0.99,2025-01-09
9079,Keyboard,1,29.99,2025-01-09
9080,Mouse,0,,2025-01-09
9081,Monitor,1,199.99,2025-01-09
9082,Laptop,1,899.99,2025-01-09
9083,Headset,1,49.99,2025-01-09
9084,USB Cable,3,5.99,2025-01-09
9085,Webcam,1,59.99,2025-01-09
9086,Speakers,1,39.99,2025-01-09
9087,Chair,1,129.99,2025-01-09
9088,Desk,1,249.99,2025-01-09
9089,Lamp,2,14.99,2025-01-09
9090,Notebook,3,2.49,2025-01-09
9091,Pen,7,0.99,2025-01-09
9092,Keyboard,1,29.99,2025-01-09
9093,Mouse,1,19.99,2025-01-09
9094,Monitor,1,199.99,2025-01-09
9095,Laptop,1,899.99,2025-01-09
9096,Headset,1,49.99,2025-01-09
9097,USB Cable,2,5.99,2025-01-09
9098,Webcam,1,59.99,2025-01-09
9099,Speakers,1,39.99,2025-01-09
9100,Chair,1,129.99,2025-01-09
